id,name,address,lat,lon,location,people,table,outlet,meeting_room,smoking_room,meeting,time,url
40,국제관 지하2층 국제관라운지,서울특별시 명륜3가동 성균관대학교 국제관,37.5868104,126.995134,교내 라운지,2,3,2,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
41,국제관 1층 국제관라운지,서울특별시 명륜3가동 성균관대학교 국제관,37.5868104,126.995134,교내 라운지,2,2,2,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
42,국제관 로비층 라운지,서울특별시 명륜3가동 성균관대학교 국제관,37.5868104,126.995134,교내 라운지,2,1,2,1,0,1,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
43,학생회관 3층 라운지,서울특별시 명륜3가동 성균관대학교 학생회관,37.587477,126.9933285,교내 라운지,2,3,2,0,0,1,월06:00~23:00 화06:00~23:00 수06:00~23:00 목06:00~23:00 금06:00~23:00 토06:00~21:00 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
44,카페 ttt ,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 카페,2,1,2,0,0,0,월08:00~18:00 화08:00~18:00 수08:00~18:00 목08:00~18:00 금08:00~18:00 토운영종료 일운영종료,https://place.map.kakao.com/2123171609
45,성균관사랑방커피K1 야외,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 카페,2,1,0,0,0,0,월08:00~18:00 화08:00~18:00 수08:00~18:00 목08:00~18:00 금08:00~18:00 토운영종료 일운영종료,https://place.map.kakao.com/1406268926
46,성균관사랑방커피K1 내부,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 카페,2,2,0,0,0,1,월08:00~18:00 화08:00~18:00 수08:00~18:00 목08:00~18:00 금08:00~18:00 토운영종료 일운영종료,https://place.map.kakao.com/1406268926
47,성균관사랑방커피K1 내부(벽),서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 카페,2,3,1,0,0,1,월08:00~18:00 화08:00~18:00 수08:00~18:00 목08:00~18:00 금08:00~18:00 토운영종료 일운영종료,https://place.map.kakao.com/1406268926
48,성균관사랑방커피K1 내부,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 카페,2,2,2,0,0,1,월08:00~18:00 화08:00~18:00 수08:00~18:00 목08:00~18:00 금08:00~18:00 토운영종료 일운영종료,https://place.map.kakao.com/1406268926
49,레브(Reve) ,서울특별시 명륜3가동 성균관대학교 수선관별관,37.5880602,126.9909954,교내 카페,3,2,0,0,0,0,월08:10~18:30 화08:10~18:30 수08:10~18:30 목08:10~18:30 금08:10~18:00 토운영종료 일운영종료,https://place.map.kakao.com/1299098091
50,커피빈 성균관대법학관점 ,서울특별시 종로구 성균관로 25-2 성균관대학교 법학관 B2층 커피빈 성균관대법학관점,37.5875154,126.9905024,교내 카페,2,1,2,0,0,1,월08:00~20:00 화08:00~20:00 수08:00~20:00 목08:00~20:00 금08:00~20:00 토운영종료 일운영종료,https://place.map.kakao.com/1193182546
